"Guinea-Bissau","2149.0","32.0","33.0","","1015.0","1101.0","5.0","1089.0","17.0","1500.0","760.0","1974061.0","3.15%","192.0","118.0","116.0","97.0","","","Guinea-Bissau"
"Guyana","846.0","70.0","29.0","2.0","399.0","418.0","8.0","1075.0","37.0","6502.0","8261.0","787081.0","6.78%","158.0","89.0","117.0","37.0","","","Guyana"
"Haiti","7997.0","48.0","196.0","","5447.0","2354.0","","700.0","17.0","21400.0","1874.0","1.1421419E7","3.47%","184.0","118.0","135.0","88.0","","","Haiti"
"Honduras","52298.0","628.0","1608.0","15.0","7867.0","42823.0","43.0","5269.0","162.0","127946.0","12890.0","9925734.0","16.97%","142.0","36.0","50.0","9.0","","","Honduras"
"Hong Kong","4605.0","18.0","73.0","1.0","3827.0","705.0","31.0","614.0","10.0","780415.0","103981.0","7505365.0","1.87%","52.0","134.0","140.0","143.0","","","Hong Kong"
"Hungary","5046.0","44.0","609.0","","3678.0","759.0","7.0","523.0","63.0","390079.0","40394.0","9656850.0","14.21%","102.0","70.0","148.0","13.0","","","Hungary"
"Iceland","2040.0","5.0","10.0","","1913.0","117.0","1.0","5973.0","29.0","191690.0","561236.0","341550.0","0.52%","10.0","99.0","43.0","186.0","","","Iceland"
"India","2904329.0","68507.0","54975.0","981.0","2157941.0","691413.0","8944.0","2102.0","40.0","3.2661252E7","23636.0","1.381863561E9","2.48%","123.0","87.0","90.0","121.0","","","India"
"Indonesia","147211.0","2266.0","6418.0","72.0","100674.0","40119.0","","537.0","23.0","1969941.0","7192.0","2.73918933E8","5.99%","163.0","107.0","147.0","44.0","","","Indonesia"
"Iran","352558.0","2279.0","20264.0","139.0","304236.0","28058.0","3869.0","4190.0","241.0","2939840.0","34940.0","8.4138745E7","6.24%","108.0","25.0","56.0","41.0","","","Iran"
"Iraq","192797.0","3995.0","6208.0","87.0","137200.0","49389.0","614.0","4779.0","154.0","1368727.0","33929.0","4.0340634E7","4.33%","110.0","38.0","52.0","76.0","","","Iraq"
"Ireland","27676.0","129.0","1776.0","1.0","23364.0","2536.0","6.0","5596.0","359.0","735598.0","148747.0","4945309.0","7.06%","34.0","18.0","46.0","36.0","","","Ireland"
"Isle of Man","336.0","","24.0","","312.0","0.0","","3948.0","282.0","9423.0","110734.0","85096.0","7.14%","47.0","21.0","60.0","35.0","","","Isle of Man"
"Israel","99599.0","1630.0","795.0","14.0","74579.0","24225.0","389.0","10829.0","86.0","2180096.0","237029.0","9197590.0","1.05%","16.0","57.0","19.0","169.0","","","Israel"
"Italy","256118.0","840.0","35418.0","6.0","204686.0","16014.0","68.0","4237.0","586.0","7790596.0","128878.0","6.044918E7","14.75%","40.0","7.0","55.0","12.0","","","Italy"
"Ivory Coast","17249.0","17.0","112.0","1.0","14611.0","2526.0","","652.0","4.0","117115.0","4426.0","2.6463011E7","0.76%","175.0","162.0","138.0","175.0","","","Ivory Coast"
"Jamaica","1192.0","46.0","14.0","","772.0","406.0","1.0","402.0","5.0","49215.0","16610.0","2962971.0","1.78%","135.0","155.0","156.0","144.0","","","Jamaica"
"Japan","58501.0","951.0","1144.0","16.0","45266.0","12091.0","237.0","463.0","9.0","1259422.0","9962.0","1.26421114E8","2.46%","152.0","137.0","154.0","125.0","","","Japan"
"Jordan","1498.0","16.0","11.0","","1261.0","226.0","3.0","147.0","1.0","720972.0","70566.0","1.0217009E7","0.86%","67.0","177.0","184.0","172.0","","","Jordan"
"Kazakhstan","103815.0","244.0","1415.0","","86450.0","15950.0","221.0","5520.0","75.0","2291327.0","121832.0","1.8807256E7","1.61%","42.0","62.0","47.0","152.0","","","Kazakhstan"
"Kenya","31441.0","426.0","516.0","10.0","17869.0","13056.0","44.0","583.0","10.0","398585.0","7391.0","5.3926571E7","2.81%","161.0","134.0","141.0","111.0","","","Kenya"
"Kuwait","78767.0","622.0","509.0","2.0","70642.0","7616.0","94.0","18407.0","119.0","577588.0","134980.0","4279075.0","0.72%","35.0","46.0","7.0","178.0","","","Kuwait"
"Kyrgyzstan","42507.0","182.0","1498.0","0.0","35486.0","5523.0","24.0","6501.0","229.0","267718.0","40944.0","6538600.0","4.05%","101.0","28.0","38.0","83.0","","","Kyrgyzstan"
"Laos","22.0","","","","19.0","3.0","","3.0","","35428.0","4860.0","7289790.0","","173.0","","214.0","","","","Laos"
"Latvia","1327.0","1.0","33.0","","1093.0","201.0","","705.0","18.0","232918.0","123686.0","1883144.0","2.93%","41.0","114.0","133.0","107.0","","","Latvia"
"Lebanon","10952.0","605.0","113.0","4.0","3040.0","7799.0","72.0","1606.0","17.0","443709.0","65050.0","6821056.0","3.58%","70.0","118.0","100.0","86.0","","","Lebanon"
"Lesotho","996.0","50.0","30.0","","423.0","543.0","","464.0","14.0","12033.0","5611.0","2144591.0","6.62%","169.0","128.0","153.0","39.0","","","Lesotho"
"Liberia","1284.0","2.0","82.0","","803.0","399.0","","253.0","16.0","","","5073177.0","9.27%","","122.0","170.0","26.0","","","Liberia"
"Libya","9707.0","244.0","173.0","4.0","1047.0","8487.0","","1410.0","25.0","88492.0","12855.0","6883928.0","14.18%","144.0","103.0","105.0","14.0","","","Libya"
"Liechtenstein","99.0","1.0","1.0","","88.0","10.0","","2595.0","26.0","900.0","23595.0","38143.0","1.12%","124.0","101.0","87.0","165.0","","","Liechtenstein"
"Lithuania","2528.0","32.0","82.0","1.0","1747.0","699.0","6.0","931.0","30.0","594478.0","218825.0","2716679.0","4.48%","20.0","98.0","125.0","70.0","","","Lithuania"
"Luxembourg","7637.0","71.0","124.0","","6903.0","610.0","3.0","12174.0","198.0","706629.0","1126386.0","627342.0","1.76%","4.0","32.0","16.0","148.0","","","Luxembourg"
"MS Zaandam","9.0","","2.0","","","7.0","","","","","","","100.00%","","","","1.0","","","MS Zaandam"
"Macao","46.0","","","","46.0","0.0","","71.0","","4071.0","6258.0","650532.0","","167.0","","195.0","","","","Macao"
"Madagascar","14154.0","80.0","177.0","4.0","13038.0","939.0","83.0","509.0","6.0","53954.0","1942.0","2.7783027E7","1.34%","183.0","148.0","150.0","161.0","","","Madagascar"
"Malawi","5282.0","42.0","165.0","1.0","2883.0","2234.0","4.0","275.0","9.0","41026.0","2137.0","1.919381E7","5.41%","181.0","137.0","168.0","54.0","","","Malawi"
"Malaysia","9240.0","5.0","125.0","","8932.0","183.0","7.0","285.0","4.0","1152140.0","35535.0","3.2422234E7","1.38%","105.0","162.0","167.0","160.0","","","Malaysia"
"Maldives","6370.0","145.0","24.0","","3915.0","2431.0","12.0","11757.0","44.0","100233.0","184996.0","541813.0","0.61%","25.0","84.0","17.0","185.0","","","Maldives"
"Mali","2667.0","","125.0","","1993.0","549.0","","131.0","6.0","32716.0","1610.0","2.0325303E7","5.90%","187.0","148.0","188.0","45.0","","","Mali"
"Malta","1510.0","40.0","9.0","","802.0","699.0","","3419.0","20.0","166348.0","376602.0","441708.0","1.11%","13.0","112.0","75.0","168.0","","","Malta"
"Martinique","336.0","","16.0","","98.0","222.0","2.0","895.0","43.0","12227.0","32586.0","375224.0","14.04%","112.0","85.0","127.0","15.0","","","Martinique"
"Mauritania","6848.0","19.0","158.0","","6123.0","567.0","3.0","1468.0","34.0","68872.0","14762.0","4665419.0","2.52%","138.0","93.0","103.0","118.0","","","Mauritania"
"Mauritius","346.0","","10.0","","334.0","2.0","","272.0","8.0","205285.0","161379.0","1272065.0","2.91%","32.0","141.0","169.0","109.0","","","Mauritius"
"Mayotte","3160.0","","39.0","","2964.0","157.0","1.0","11547.0","143.0","13000.0","47502.0","273671.0","1.30%","89.0","41.0","18.0","162.0","","","Mayotte"
"Mexico","537031.0","5792.0","58481.0","707.0","367537.0","111013.0","3480.0","4159.0","453.0","1211552.0","9383.0","1.29117943E8","13.73%","153.0","13.0","57.0","16.0","","","Mexico"
"Moldova","31937.0","522.0","921.0","7.0","21885.0","9131.0","362.0","7920.0","228.0","183923.0","45609.0","4032626.0","4.04%","93.0","29.0","30.0","84.0","","","Moldova"
"Monaco","150.0","2.0","4.0","","115.0","31.0","1.0","3819.0","102.0","51953.0","1322632.0","39280.0","3.36%","3.0","53.0","62.0","90.0","","","Monaco"
"Mongolia","298.0","","","","281.0","17.0","1.0","91.0","","46332.0","14103.0","3285365.0","","139.0","","192.0","","","","Mongolia"
"Montenegro","4229.0","55.0","81.0","1.0","3186.0","962.0","","6733.0","129.0","44219.0","70404.0","628077.0","2.48%","68.0","44.0","36.0","122.0","","","Montenegro"
"Montserrat","13.0","","1.0","","12.0","0.0","","2604.0","200.0","61.0","12220.0","4992.0","7.69%","145.0","31.0","86.0","32.0","","","Montserrat"
"Morocco","47638.0","1325.0","775.0","32.0","32806.0","14057.0","31.0","1289.0","21.0","1670569.0","45187.0","3.6970089E7","2.31%","94.0","111.0","110.0","129.0","","","Morocco"
"Mozambique","3115.0","70.0","20.0","1.0","1380.0","1715.0","","99.0","0.6","82264.0","2623.0","3.1367587E7","1.43%","178.0","182.0","191.0","158.0","","","Mozambique"
"Myanmar","399.0","5.0","6.0","","333.0","60.0","","7.0","0.1","141044.0","2590.0","5.4460318E7","1.77%","179.0","189.0","213.0","147.0","","","Myanmar"
"Namibia","4912.0","247.0","41.0","2.0","2442.0","2429.0","18.0","1929.0","16.0","45744.0","17960.0","2547027.0","1.65%","131.0","122.0","92.0","150.0","","","Namibia"
"Nepal","29645.0","707.0","126.0","6.0","17964.0","11555.0","","1015.0","4.0","878622.0","30083.0","2.9206558E7","0.70%","116.0","162.0","118.0","179.0","","","Nepal"
"Netherlands","65054.0","529.0","6191.0","10.0","0.0","0.0","51.0","3795.0","361.0","1312787.0","76591.0","1.7140202E7","100.00%","63.0","17.0","63.0","1.0","","","Netherlands"
"New Caledonia","23.0","","","","22.0","1.0","","80.0","","11838.0","41410.0","285874.0","","99.0","","194.0","","","","New Caledonia"
"New Zealand","1654.0","5.0","22.0","","1531.0","101.0","6.0","331.0","4.0","657506.0","131446.0","5002100.0","1.42%","38.0","162.0","160.0","159.0","","","New Zealand"
"Nicaragua","4311.0","","133.0","","2913.0","1265.0","","650.0","20.0","","","6635277.0","4.37%","","112.0","139.0","74.0","","","Nicaragua"
"Niger","1169.0","2.0","69.0","","1082.0","18.0","","48.0","3.0","9052.0","372.0","2.4315155E7","5.99%","193.0","169.0","202.0","43.0","","","Niger"
"Nigeria","50964.0","476.0","992.0","7.0","37569.0","12403.0","7.0","246.0","5.0","352625.0","1705.0","2.06802324E8","2.57%","185.0","155.0","173.0","115.0","","","Nigeria"
"North Macedonia","13194.0","118.0","554.0","3.0","9752.0","2888.0","4.0","6333.0","266.0","132493.0","63596.0","2083362.0","5.38%","75.0","24.0","40.0","56.0","","","North Macedonia"
"Norway","10197.0","35.0","264.0","2.0","9150.0","783.0","1.0","1879.0","49.0","588550.0","108447.0","5427090.0","2.80%","49.0","82.0","93.0","112.0","","","Norway"
"Oman","83769.0","163.0","609.0","6.0","78386.0","4774.0","151.0","16350.0","119.0","309212.0","60353.0","5123430.0","0.77%","79.0","46.0","11.0","174.0","","","Oman"
"Pakistan","290958.0","513.0","6209.0","8.0","272804.0","11945.0","725.0","1314.0","28.0","2363752.0","10673.0","2.21460187E8","2.23%","148.0","100.0","109.0","134.0","","","Pakistan"
"Palestine","17989.0","383.0","120.0","1.0","10682.0","7187.0","","3516.0","23.0","214862.0","41991.0","5116888.0","1.11%","98.0","107.0","71.0","167.0","","","Palestine"
"Panama","83855.0","101.0","1844.0","17.0","59174.0","22837.0","154.0","19393.0","426.0","287300.0","66445.0","4323882.0","3.02%","69.0","14.0","6.0","101.0","","","Panama"
"Papua New Guinea","361.0","14.0","4.0","1.0","198.0","159.0","","40.0","0.4","14439.0","1610.0","8969502.0","1.98%","187.0","184.0","203.0","141.0","","","Papua New Guinea"
"Paraguay","11817.0","684.0","170.0","5.0","6783.0","4864.0","63.0","1654.0","24.0","166110.0","23250.0","7144441.0","2.44%","125.0","104.0","97.0","126.0","","","Paraguay"
"Peru","567059.0","8639.0","27034.0","200.0","380730.0","159295.0","1519.0","17166.0","818.0","2852011.0","86336.0","3.3033892E7","6.63%","58.0","3.0","9.0","38.0","","","Peru"
"Philippines","177579.0","3896.0","2881.0","86.0","113903.0","60795.0","717.0","1618.0","26.0","2193448.0","19981.0","1.09778515E8","2.47%","129.0","101.0","99.0","124.0","","","Philippines"
"Poland","59378.0","767.0","1925.0","12.0","40481.0","16972.0","85.0","1569.0","51.0","2409394.0","63672.0","3.7840722E7","4.54%","74.0","78.0","101.0","66.0","","","Poland"
"Portugal","54992.0","291.0","1788.0","2.0","40264.0","12940.0","39.0","5395.0","175.0","1880235.0","184473.0","1.0192461E7","4.25%","26.0","34.0","49.0","80.0","","","Portugal"
"Qatar","116224.0","268.0","193.0","","112924.0","3107.0","64.0","41393.0","69.0","572273.0","203815.0","2807805.0","0.17%","23.0","65.0","1.0","191.0","","","Qatar"
"Romania","74963.0","1346.0","3154.0","48.0","34196.0","37613.0","489.0","3900.0","164.0","1591015.0","82783.0","1.9219141E7","8.44%","60.0","35.0","61.0","28.0","","","Romania"
"Russia","942106.0","4785.0","16099.0","110.0","755513.0","170494.0","2300.0","6455.0","110.0","3.35E7","229541.0","1.45943309E8","2.09%","17.0","49.0","39.0","140.0","","","Russia"
"Rwanda","2717.0","73.0","11.0","1.0","1705.0","1001.0","","209.0","0.8","351383.0","27042.0","1.2993865E7","0.64%","118.0","180.0","179.0","182.0","","","Rwanda"
